"","ID","Latitude","Longitude","SOx","CO2","NOx","Height","Diam","Velocity","Temp"
"69","1353-BSU1",38.1707,-82.6176,10606.463,1471149.666,2833.38,251.7648,8.59536,96.3168,309.816666666667
"70","1353-BSU2",38.1707,-82.6176,39491.897,5481107.134,9656.867,251.7648,8.59536,96.3168,309.816666666667
"71","1355-1",37.7889,-84.7139,8681.717,714586.133,1693.695,170.9928,8.13816,39.3192,298.772222222222
"72","1355-2",37.7889,-84.7139,13804.339,1125924.347,1607.224,170.9928,8.13816,39.3192,298.772222222222
"73","1355-3",37.7889,-84.7139,20376.384,1681110.269,2503.557,170.9928,8.13816,39.3192,298.772222222222
"74","1356-1",38.7497,-85.035,5502.756,3837498.827,4778.354,180.594,8.0772,39.3192,281.955555555556
"75","1356-2",38.7497,-85.035,13960.447,2809298.836,3735.635,177.0888,11.2776,39.3192,279.055555555556
"76","1356-3",38.7497,-85.035,15053.802,3145282.506,2584.942,177.0888,11.2776,39.3192,279.055555555556
"77","1356-4",38.7497,-85.035,15668.672,3258952.358,2810.227,180.594,8.0772,39.3192,278.033333333333
"78","1357-4",37.3636,-87.1214,9017.444,455733.355,899.54,60.0456,3.41376,91.44,289.816666666667
"79","1357-5",37.3636,-87.1214,6900.911,342179.169,655.132,75.2856,3.048,91.44,307.15
"80","136-1",29.7333,-81.6339,16518.207,5266187.975,12394.487,205.74,10.9728,39.0144,269.816666666667
"81","136-2",29.7333,-81.6339,17531.93,5635482.75,13274.707,205.74,10.9728,39.0144,269.816666666667
"82","1363-4",38.1828,-85.8894,5542.781,1191842.39,2115.016,72.8472,4.7244,38.1,277.664454673527
"83","1363-5",38.1828,-85.8894,5085.049,1107517.706,2324.635,72.8472,4.7244,36.8808,276.477272472868
"84","1363-6",38.1828,-85.8894,8233.836,1668623.296,2600.895,152.4,5.7912,38.4048,274.478901396412
"85","1364-1",38.0531,-85.91,4156.684,2068193.081,3205.198,182.88,4.7244,36.8808,290.300894805408
"86","1364-2",38.0531,-85.91,4269.952,1865822.207,2844.733,182.88,4.7244,39.0144,292.528119778215
"87","1364-3",38.0531,-85.91,7703.031,3068476.136,3280.267,182.88,5.51688,39.3192,291.800563076732
"88","1364-4",38.0531,-85.91,7902.576,3298884.929,3738.257,182.88,5.9436,36.8808,296.318049477636
"89","1374-1",37.7958,-87.0597,2236.621,1158322.257,5650.804,128.016,7.3152,36.576,287.738888888889
"90","1374-2",37.7958,-87.0597,3587.514,1593672.996,2056.613,128.016,7.3152,36.576,287.738888888889
"91","1378-1",37.2608,-86.9783,13562.566,4431469.55,11465.497,182.88,7.9248,38.1,295.694444444444
"92","1378-2",37.2608,-86.9783,17319.513,5462577.9,14124.802,182.88,7.9248,38.1,295.694444444444
"93","1378-3",37.2608,-86.9783,53519.135,4752047.075,10288.558,182.88,11.2776,40.2336,283.394444444444
"94","1379-1",37.1517,-88.775,3685.345,984841.233,1885.718,242.9256,8.50392,93.5736,301.294444444444
"95","1379-10",37.1517,-88.775,2167.921,985927.4,1733.305,242.9256,8.50392,84.4296,262.594444444444
"96","1379-2",37.1517,-88.775,3694.821,991616.372,1910.038,242.9256,8.50392,93.5736,301.294444444444
"97","1379-3",37.1517,-88.775,3568.932,953092.623,1840.687,242.9256,8.50392,93.5736,301.294444444444
"98","1379-4",37.1517,-88.775,4067.033,1090779.854,2108.112,242.9256,8.50392,93.5736,301.294444444444
"99","1379-5",37.1517,-88.775,4129.252,1107739.753,2140.382,242.9256,8.50392,93.5736,301.294444444444
"100","1379-6",37.1517,-88.775,3886.901,1128012.979,2021.865,242.9256,8.50392,93.5736,301.294444444444
"101","1379-7",37.1517,-88.775,3411.655,992204.165,1777.334,242.9256,8.50392,93.5736,301.294444444444
"102","1379-8",37.1517,-88.775,3747.195,1086238.907,1949.027,242.9256,8.50392,93.5736,301.294444444444
"103","1379-9",37.1517,-88.775,3872.164,1123741.556,2012.152,242.9256,8.50392,93.5736,301.294444444444
"104","1381-C1",37.9628,-86.7917,35975.692,2135733.7,3310.678,106.68,4.2672,91.44,288.038888888889
"105","1381-C2",37.9628,-86.7917,35513.216,2161291.25,3446.71,106.68,4.2672,105.156,289.983333333333
"106","1381-C3",37.9628,-86.7917,42137.12,2380123.45,3509.446,106.68,4.2672,87.4776,289.983333333333
"107","1382-H1",37.6472,-87.5028,2103.692,1134190.35,1573.98,106.68,4.572,40.8432,282.705555555556
"108","1382-H2",37.6472,-87.5028,2636.709,1390296.425,2133.447,106.68,4.572,42.0624,282.705555555556
"109","1383-R1",37.6467,-87.5033,17627.983,834955.725,2100.343,76.2,3.6576,97.536,271.761111111111
"110","1384-1",37,-84.5917,7783.256,660035.177,1548.64,79.248,5.42544,97.536,270.738888888889
"111","1384-2",37,-84.5917,15639.171,1327844.371,3066.044,79.248,5.42544,97.536,285.1
"112","1385-3",37.8807,-84.2634,3898.221,531321.95,1100.166,45.1104,3.68808,103.632,275.372222222222
"113","1385-4",37.8807,-84.2634,4311.322,590379.251,1219.919,45.1104,3.68808,94.1832,273.705555555556
"114","1393-6",30.2861,-93.2917,13248.499,3993861.962,4591.924,152.4,7.0104,84.4296,310.372222222222
"115","1552-1",39.3269,-76.365,15445.055,1123189.95,3982.634,107.5944,3.32232,97.536,310.927777777778
"116","1552-2",39.3269,-76.365,17585.94,1262477.475,4222.832,107.5944,3.32232,100.584,310.927777777778
"117","1554-2",39.1781,-76.5268,6698.056,918201.975,2036.203,87.4776,3.10896,100.584,310.927777777778
"118","1554-3",39.1781,-76.5268,15479.774,2283443.975,2769.705,105.4608,4.1148,96.012,314.816666666667
"119","1571-1",38.5444,-76.6861,25243.81,2267839.637,5084.907,216.1032,9.6012,88.0872,286.483333333333
"120","1571-2",38.5444,-76.6861,22853.536,2025577.663,4601.31,121.92,9.11352,30.48,289.261111111111
"121","1572-1",39.2086,-77.4644,11434.096,1030495.048,1667.785,121.92,9.11352,30.48,284.816666666667
"122","1572-2",39.2086,-77.4644,13250.079,1198509.716,1987.081,214.2744,7.62,55.1688,289.261111111111
"123","1572-3",39.2086,-77.4644,13043.082,1182222.208,1947.444,121.92,9.11352,30.48,284.816666666667
"124","1573-1",38.3592,-76.9767,38551.802,2937699.113,6737.473,213.36,5.88264,82.296,310.927777777778
"125","1573-2",38.3592,-76.9767,40929.936,3219080.055,6698.196,213.36,5.88264,82.296,310.927777777778
"126","1606-1",42.2814,-72.6053,4137.187,1154933.75,1417.19,112.776,3.849624,60.96,288.705555555556
"127","1619-1",41.7125,-71.1914,7247.271,1742082.775,1930.101,107.53344,4.4196,70.104,292.65
"128","1619-2",41.7125,-71.1914,7584.848,1817361.05,2134.989,107.53344,4.4196,70.104,292.65
"129","1619-3",41.7125,-71.1914,15112.141,3783267.775,5908.344,107.53344,5.9436,82.296,300.788888888889
"130","165-1",36.1906,-95.2889,14277.228,4045848.496,8226.847,153.924,6.096,93.2688,314.316666666667
"131","165-2",36.1906,-95.2889,4113.707,4289834.964,7300.553,153.924,5.54736,91.44,292.013888888889
"132","1710-1",42.9103,-86.2036,8375.224,2185429.159,2562.108,121.92,5.7912,84.7344,325.927777777778
"133","1710-2",42.9103,-86.2036,18339.62,4439016.732,5639.652,121.92,5.7912,84.7344,325.927777777778
"134","1710-3",42.9103,-86.2036,46183.648,12056957.6,22410.48,195.6816,8.3058,91.1352,301.316666666667
"135","1723-1",41.7917,-83.4486,6962.096,1827180.5,2137.13,90.5256,3.3528,87.7824,291.316666666667
"136","1723-2",41.7917,-83.4486,7286.926,1901291.85,2337.164,90.5256,3.3528,86.868,291.316666666667
"137","1723-3",41.7917,-83.4486,7338.148,1892018.35,2082.686,90.5256,3.62712,87.1728,294.427777777778
"138","1731-1",43.8519,-82.6436,2018.983,390424.797,1078.155,91.44,2.8956,85.344,315.927777777778
"139","1733-1",41.8917,-83.3461,27563.224,4558905.556,8273.922,245.364,8.5344,82.296,326.483333333333
"140","1733-2",41.8917,-83.3461,23486.665,3829113.839,6830.026,176.4792,8.5344,36.576,287.705555555556
"141","1733-3",41.8917,-83.3461,28897.002,4725291.435,9993.754,176.4792,8.5344,36.576,287.705555555556
"142","1733-4",41.8917,-83.3461,30358.865,4999978.879,10296.332,176.4792,8.5344,36.576,287.705555555556
"143","1740-2",42.2733,-83.1131,6937.632,1631576.698,1893.939,117.348,3.7338,90.8304,337.65
"144","1740-3",42.2733,-83.1131,5064.362,1240723.104,2037.758,129.54,3.910584,97.536,344.205555555556
"145","1743-1",42.7625,-82.4722,3104.665,851004.672,2842.969,182.5752,4.062984,100.584,305.261111111111
"146","1743-2",42.7625,-82.4722,3188.726,865381.487,1565.156,182.5752,4.062984,100.584,305.261111111111
"147","1743-3",42.7625,-82.4722,3205.012,842259.083,1527.105,182.5752,4.062984,100.584,305.261111111111
"148","1743-4",42.7625,-82.4722,3412.86,983289.552,1664.623,182.5752,4.062984,100.584,305.261111111111
"149","1743-6",42.7625,-82.4722,11471.138,1839771.818,1346.5,129.54,4.0386,91.44,328.15
"150","1743-7",42.7625,-82.4722,15855.662,2420595.344,1997.597,182.5752,4.8768,93.5736,336.483333333333
"151","1745-9A",42.1236,-83.1811,16400.139,2787651.044,2328.995,171.6024,4.8768,85.344,333.15
"152","1769-5",46.5789,-87.395,4029.801,596868.777,1108.674,121.92,2.7432,100.2792,273.427777777778
"153","1769-6",46.5789,-87.395,3712.961,549820.997,1051.032,121.92,2.7432,95.4024,275.15
"154","1769-7",46.5789,-87.395,3018.652,1200217.473,2433.789,124.968,2.8956,88.392,280.205555555556
"155","1769-8",46.5789,-87.395,2517.115,986352.479,1895.292,124.968,2.8956,91.44,281.15
"156","1769-9",46.5789,-87.395,2408.176,950556.055,1884.952,124.968,2.8956,91.7448,281.372222222222
"157","1825-3",43.0722,-86.2342,1051.97,469530.75,602.407,109.728,2.5908,48.768,336.983333333333
"158","1830-5",42.7956,-86.1133,874.462,197460.316,383.121,60.96,2.185416,97.536,272.205555555556
"159","1832-1",42.6919,-84.6572,3104.676,1223001.801,1218.042,144.78,5.1816,102.108,289.038888888889
"160","1843-3",46.5314,-87.3917,225.902,359175.2,274.795,106.68,2.7432,64.008,285.038888888889
"161","1866-7",42.2081,-83.1453,1155.472,285269.769,504.951,64.9224,2.7941016,106.68,270.261111111111
"162","1866-8",42.2081,-83.1453,373.181,191858.997,151.4,65.532,1.8288,88.392,273.594444444444
"163","1891-1",47.5306,-92.1619,939.766,527538.786,1313.055,91.44,3.2004,41.4528,281.764019799946
"164","1891-2",47.5306,-92.1619,901.144,508603.134,1261.999,91.44,3.2004,41.4528,281.764019799946
"165","1893-1",47.2603,-93.6531,2569.952,551335.284,1107.449,213.36,8.8392,53.34,283.801402679215
"166","1893-2",47.2603,-93.6531,2549.729,547280.17,1098.113,213.36,8.8392,53.34,283.801402679215
"167","1893-3",47.2603,-93.6531,11363.272,2474786.332,4556.398,213.36,8.8392,53.34,283.801402679215
"168","1893-4",47.2603,-93.6531,3479.203,4607426.814,7724.13,182.88,6.096,48.1584,320.747310686483
"169","1904-3",44.8108,-93.2501,1197.911,667507.197,2443.978,182.88,6.858,105.7656,305.686930687706
"170","1904-4",44.8108,-93.2501,2577.291,1444911.253,5255.579,182.88,6.858,105.7656,305.686930687706
