"particle_no","lon","lat","height","hour"
"00021",-88.1274,32.9086,147,3
"00022",-88.119,32.8933,129,3
"00023",-88.1243,32.9033,147,3
"00024",-88.1286,32.9115,154,3
"00025",-88.1305,32.9124,159,3
"00026",-88.1259,32.9032,160,3
"00027",-88.1206,32.8931,134,3
"00028",-88.1223,32.8967,120,3
"00029",-88.1184,32.8912,143,3
"00030",-88.1304,32.9136,175,3
"00031",-88.1001,32.8685,119,3
"00032",-88.1147,32.8952,159,3
"00033",-88.1091,32.8868,111,3
"00034",-88.1127,32.8925,134,3
"00035",-88.1114,32.8872,141,3
"00036",-88.1015,32.8732,120,3
"00037",-88.1101,32.8889,144,3
"00038",-88.1135,32.8937,154,3
"00039",-88.1073,32.8798,131,3
"00040",-88.1125,32.8913,155,3
"00041",-88.0999,32.8779,161,3
"00042",-88.103,32.885,158,3
"00043",-88.0952,32.8687,140,3
"00044",-88.1068,32.8907,166,3
"00045",-88.1119,32.8972,160,3
"00046",-88.1006,32.8795,129,3
"00047",-88.1053,32.8888,139,3
"00048",-88.102,32.8836,162,3
"00049",-88.1107,32.8944,164,3
"00050",-88.0989,32.8764,137,3
"00051",-88.0909,32.8729,156,3
"00052",-88.0877,32.8663,142,3
"00053",-88.0904,32.8703,144,3
"00054",-88.0935,32.8775,165,3
"00055",-88.0918,32.874,155,3
"00056",-88.0864,32.8658,145,3
"00057",-88.0871,32.8666,158,3
"00058",-88.0939,32.8765,163,3
"00059",-88.0954,32.8792,163,3
"00060",-88.0992,32.8852,173,3
"00061",-88.0646,32.8369,129,3
"00062",-88.0834,32.8691,162,3
"00063",-88.0726,32.8507,122,3
"00064",-88.0759,32.8573,153,3
"00065",-88.0793,32.8605,142,3
"00066",-88.0782,32.86,155,3
"00067",-88.0758,32.8583,146,3
"00068",-88.0702,32.8452,132,3
"00069",-88.0846,32.8715,181,3
"00070",-88.0786,32.8594,142,3
"00071",-88.0772,32.867,183,3
"00072",-88.0678,32.8512,156,3
"00073",-88.0664,32.8488,160,3
"00074",-88.0659,32.8477,128,3
"00075",-88.0627,32.8407,129,3
"00076",-88.067,32.8512,136,3
"00077",-88.064,32.845,134,3
"00078",-88.0644,32.8466,146,3
"00079",-88.0676,32.851,140,3
"00080",-88.0641,32.8446,131,3
"00081",-88.0556,32.8384,145,3
"00082",-88.0498,32.8304,121,3
"00083",-88.0513,32.8333,123,3
"00084",-88.0511,32.8322,127,3
"00085",-88.058,32.8441,163,3
"00086",-88.0509,32.8293,140,3
"00087",-88.0588,32.8482,165,3
"00088",-88.0554,32.84,140,3
"00089",-88.0565,32.8428,156,3
"00090",-88.0485,32.8276,122,3
"00091",-88.0456,32.833,142,3
"00092",-88.042,32.8249,160,3
"00093",-88.0425,32.8286,152,3
"00094",-88.0407,32.8258,133,3
"00095",-88.0415,32.825,138,3
"00096",-88.045,32.8302,147,3
"00097",-88.0472,32.8326,164,3
"00098",-88.0426,32.828,130,3
"00099",-88.0445,32.8307,147,3
"00100",-88.0448,32.8304,145,3
"END",NA,NA,NA,3
"00001",-88.2654,33.0627,142,4
"00002",-88.2679,33.0724,156,4
"00003",-88.2735,33.082,185,4
"00004",-88.2614,33.0525,128,4
"00005",-88.2646,33.0601,139,4
"00006",-88.2619,33.0621,157,4
"00007",-88.2638,33.0561,138,4
"00008",-88.2599,33.0522,150,4
"00009",-88.2523,33.0369,121,4
"00010",-88.2501,33.0261,101,4
"00011",-88.2539,33.0484,158,4
"00012",-88.243,33.0301,144,4
"00013",-88.2607,33.0651,170,4
"00014",-88.2485,33.0367,157,4
"00015",-88.2476,33.0365,134,4
"00016",-88.2501,33.0429,181,4
"00017",-88.2539,33.0513,160,4
"00018",-88.2452,33.0249,103,4
"00019",-88.2616,33.0608,155,4
"00020",-88.2475,33.0379,140,4
"00021",-88.2394,33.0335,134,4
"00022",-88.2302,33.0137,141,4
"00023",-88.2382,33.0322,146,4
"00024",-88.2428,33.0407,155,4
"00025",-88.2463,33.045,155,4
"00026",-88.243,33.0355,164,4
"00027",-88.2323,33.0135,137,4
"00028",-88.2282,33.0044,101,4
"00029",-88.2314,33.0154,155,4
"00030",-88.248,33.0521,172,4
"00031",-88.2119,32.9867,115,4
"00032",-88.229,33.0228,151,4
"00033",-88.2142,32.9934,95,4
"00034",-88.2235,33.0114,125,4
"00035",-88.2248,33.0083,135,4
"00036",-88.2121,32.9885,126,4
"00037",-88.2232,33.0131,142,4
"00038",-88.228,33.0212,148,4
"00039",-88.2192,32.9996,124,4
"00040",-88.2264,33.0177,139,4
"00041",-88.2174,33.0085,168,4
"00042",-88.2187,33.0132,144,4
"00043",-88.2106,32.9937,139,4
"00044",-88.2231,33.0226,139,4
"00045",-88.2277,33.0283,162,4
"00046",-88.2121,33.0001,143,4
"00047",-88.2183,33.014,143,4
"00048",-88.2182,33.0142,155,4
"00049",-88.2283,33.028,165,4
"00050",-88.2118,32.9968,145,4
"00051",-88.2078,33.0017,152,4
"00052",-88.2015,32.9872,138,4
"00053",-88.2045,32.9922,134,4
"00054",-88.2122,33.0126,181,4
"00055",-88.2084,33.0031,155,4
"00056",-88.2007,32.989,144,4
"00057",-88.2037,32.9948,171,4
"00058",-88.211,33.0073,164,4
"00059",-88.2114,33.0079,150,4
"00060",-88.2176,33.019,157,4
"00061",-88.18,32.9564,153,4
"00062",-88.2023,33.0025,186,4
"00063",-88.1818,32.9613,100,4
"00064",-88.1918,32.9821,131,4
"00065",-88.1933,32.9813,150,4
"00066",-88.1957,32.9899,168,4
"00067",-88.1876,32.9776,120,4
"00068",-88.1837,32.9632,121,4
"00069",-88.2055,33.0096,174,4
"00070",-88.1933,32.9819,136,4
"00071",-88.1981,33.0041,185,4
"00072",-88.1855,32.9799,141,4
"00073",-88.1846,32.9787,148,4
"00074",-88.1774,32.9608,115,4
"00075",-88.1774,32.9592,118,4
"00076",-88.1807,32.9728,136,4
"00077",-88.1763,32.9601,99,4
"00078",-88.18,32.9695,158,4
"00079",-88.1841,32.9766,159,4
"00080",-88.1763,32.9594,103,4
"00081",-88.1715,32.9621,147,4
"00082",-88.1593,32.9375,87,4
"00083",-88.1619,32.943,101,4
"00084",-88.1632,32.946,123,4
"00085",-88.1781,32.9765,172,4
"00086",-88.1657,32.9468,141,4
"00087",-88.178,32.98,167,4
